conditions_enum条件枚举表,,,,,,,
int|key,str,int,str,int,str,str,int
0,,0,,0,,,
id,sign,data_restart_type,arg,func_config_id,name,desc,is_task_init
"枚举ID","标识","数据记录方式","参数列表（填写规则）","功能链接id","名称","备注","是否任务初始化获取数据"
1,level,,,23,等级,,
2,task,,,0,任务,,
3,vip_level,,,2181,vip等级,,
7,kill,,"[kill,monterId,count]",0,杀怪,,
8,dialog,,,0,对话,,
10,mission,,"[type,fubenId]",0,"通关副本[mission, 副本类型id, 副本id]",,
11,go_scene,,"[sceneid]",10020,前往场景,,
16,mystery_shop_buy_count,,,2041,神秘商店购买次数,,
17,item_shop_buy_count,,,2042,道具商店购买次数,,
18,login_day,,,0,登入天数,,
20,consumption_of_mana,,,,消耗银币数量,,
24,fun_id,,,,开启功能,,
25,recharge_money_daliy,1,,,每日充值多少钱,,
27,activity_turn_count,,"[activity_turn_count, actvityId, count]",,活动操作次数排行,,
28,recharge_money,0,,,累计充值多少钱,,
29,login_day_activity,,,,活动期间登录天数(活动开启时间开始计),,
30,use_item_num,,"[use_item_num, itemId, count]",,使用消耗物品数量,,
31,server_day_num,,,,开服几天,,
32,world_boss_challenge_count,,,10100,世界BOSS挑战次数,,
33,activity_turn_score,,"[activity_turn_score, actvityId, count]",,活动积分排行,,
34,activity_turn_layer,,"[activity_turn_layer, actvityId, count]",,活动层数条件,,
#回收条件,,,,,,,
35,withdrawal_money,,"[withdrawal_money,money]",,,,
#,,,,,,,
"#程序新加条件,策划看看需不需要修改",,,,,,,
36,mission_type_count,,"[mission_type_count,missionType,count]",,挑战某种副本次数,,
38,charge_count,,,,充值次数,,
39,share_count,,,,分享次数,,
40,sys_common_fun_count,,"[sys_common_fun_count,funId,count]",,某个公共系统激活数量,,
41,guess_boss_win,,,,猜一猜猜对X次,,
42,shishi_boss_win,,,,时时彩获奖X次,,
#常用,,,,,,,
21,kill_monster_count,,"[kill_monster_count,击杀怪物数量（只算捕鱼场景）]",,击杀小怪数量,,
22,kill_boss_count,,"[kill_boss_count,进入boss房间次数（反复进去不算）]",,击杀boss数量,,
37,get_gold,,"[get_gold,获得金币数量]",,获得金币数量,,
43,kill_get_gold,,"[kill_get_gold,获得金币数量（只算击杀怪物和功能怪）]",,获得金币数量(只算击杀和功能怪奖励）,,
19,consumption_of_gold,,"[consumption_of_gold,消耗金币数量（只算捕鱼场景）]",,消耗金币数量,,
#新增,,,,,,,
50,hero_star,,"[hero_star,英雄id,英雄星级]",,英雄星级,,
52,kill_effect_count,,"[kill_effect_count,效果id,击杀数量（只算捕鱼场景）]",,击杀特定功能怪数量,,
53,attack_count,,"[attack_count,普攻次数（只算捕鱼场景）]",,攻击次数,,
54,freeze_skill_count,,"[freeze_skill_count,使用冰冻技能次数（只算捕鱼场景）]",,使用冰冻技能次数,,
55,auto_skill_count,,"[auto_skill,使用自动技能次数（只算捕鱼场景）]",,使用自动技能次数,,
56,change_head,,"[change_head,更换头像次数]",,更换头像次数,,
57,change_head_frame,,"[change_head_frame,更换头像框次数]",,更换头像框次数,,
58,chat_count,,"[chat_count,聊天次数]",,快捷短语聊天次数,,
59,use_sticker,,"[use_sticker,使用表情次数]",,发表情包次数,,
60,dash_count,,"[dash_count,冲刺次数]",,使用冲刺次数,,
61,kill_scene_monster_count,,"[kill_scene_monster_count,场景id,击杀怪物数量]",,击杀特定场景的怪物,,
62,jiangjinchi_count,,"[jiangjinchi_count,奖金池]",,抽取奖金池次数,,
63,use_hero,,"[use_hero,出战的英雄]",,出战的英雄,,
64,speed_skill_count,,"[speed_skill_count,使用狂暴技能次数（只算捕鱼场景）]",,使用狂暴技能次数,,
65,use_hero_parts,,"[use_hero_parts,出战英雄部件]",,穿戴英雄部件,,
66,single_skill_count,,"[single_skill_count,使用单体技能次数]",,使用单体技能次数,,
67,card_title,,"[card_title,图鉴目录id,次数默认1]",,完成图鉴目录次数,,
68,kill_kind_count,,"[kill_kind_count,怪物kind,击杀数量]",,击杀某种类型怪物数量,,
69,attack_kind_count,,"[attack_kind_count,怪物kind,攻击次数]",,攻击某种类型怪物数量,,
70,card,,"[card,图鉴目录id,图鉴需完成数量]",,完成图鉴目录次数,,
71,kill_scene_kind_count,,"[kill_scene_kind_count,场景id,怪物kind,击杀数量]",,击杀特定场景某种类型怪物数量,,
72,complete_reward_task,,"[complete_reward_task,完成数量]",,完成悬赏任务数量,,
73,laba_count,,"[laba_count,拉霸次数]",,完成拉霸次数,,
74,wujinduijue_count,,"[wujinduijue_count,无尽对决次数]",,完成无尽对决次数,,
75,attack_shishicai_count,,"[attack_shishicai_count,攻击时时彩BOSS次数]",,攻击时时彩BOSS次数,,
#引导,,,,,,,
101,weapon_replace,,,,更换武器,,
102,prop_merge,,"[prop_merge,mergeId,count]",,道具合成数量,,
103,shenlong_count,,,,神龙祝福次数,,
104,anger_skill_count,,,,怒气大招技能,,
#计算累计数量用的,,,,,,,
9999,cumulative_prop_num,,,,累计道具数量(目前只有英雄碎片生效),,
