技能组件表,,,,,,,,,,,,,,,,,,,,,,,,
int|key,int,str|useless,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,str|useless,str,int,str,str
,,,,,,,,,,,,,,,,,,,,,,,,
Id,SkillCellIndex,Note,SkillCellID,ReferToPosition,SettlementAndViewOffsetX,SettlementAndViewOffsetY,ViewOffsetH,DirectionPos,DirectionRotation,DirectionType,Direction,FlyDistance,PlayTimes,StartShowTime,LiveSpan,Settlement,AlphaStartShowTime,AlphaDisappearTime,SoundDelay,Shadow,Transform,HidePlayer,PlayAction,PlayerMove
"组件标识ID","程序用，顺序加即可","中文说明","使用的法术组件id","【0】表示自身脚底，【1】表示目标位置【2】表示屏幕中心【3】表示玩家施法点","【0】表示不偏移【正整数】表示向前进行方向偏移【负整数】表示向后退方向偏移","【0】表示不偏移【正整数】表示向上偏移【负整数】表示向下偏移","高度偏移","根据角色方向控制位置 0不控制 1控制","根据角色方向控制角度 0不控制 1控制","（0：基准为屏幕，1：基准为玩家 面朝的方向 左右  2：角色施法方向为基准 3：基准为玩家的面朝的方向 8方向 控制X  Y位置，4：基准为玩家的面朝的方向 8方向 控制X  Y位置 与角度)","特效朝向，顺时针旋转。当特效朝向类型为0时，0为原图方向；当特效朝向类型为1时，0为角色面朝方向","飞行距离","部件播放【0】表示时间循环【正整数】表示播放次数控制","出现时间","存在时间","【-1】表示不结算，【0】表示碰撞结算，【正整数】表示帧结算","alpha出现","alpha消失","声音播放延(单位：毫秒)迟 -1不播放  0立即播放","延时|残影帧数|残影持续时间|是否是玩家残影  1是（玩家残影）  0不是（元件残影）","组件变换","隐藏主角","施法者播放动作","施法者移动  距离|时间|跳跃高度   -1不做处理"
344,0,动作专用,999,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,-1,attack03|1|12,-1
344,1,新地裂出现,1157,0,200,-47,0,0,0,0,-15,0,0,800,1500,1,0,500,0,-1,-1,-1,-1,-1
344,2,新地裂出现,1157,0,200,76,0,0,0,0,15,0,0,800,1500,1,0,500,0,-1,-1,-1,-1,-1
344,3,新地裂出现,1178,0,-193,-46,0,0,0,0,15,0,0,800,1500,1,0,500,0,-1,-1,-1,-1,-1
344,4,新地裂出现,1178,0,-199,65,0,0,0,0,-15,0,0,800,1500,1,0,500,0,-1,-1,-1,-1,-1
344,5,黑色地裂纹,1174,0,-40,-40,0,0,0,0,0,0,0,800,1500,1,300,500,0,-1,rotation:90,-1,-1,-1
344,6,黑色地裂纹,1174,0,143,18,0,0,0,0,0,0,0,800,1500,1,300,500,0,-1,rotation:90,-1,-1,-1
344,7,黑色地裂纹,1174,0,-32,39,0,0,0,0,0,0,0,800,1500,1,300,500,0,-1,rotation:90,-1,-1,-1
344,8,黑色地裂纹,1174,0,71,36,0,0,0,0,0,0,0,800,1500,1,300,500,0,-1,rotation:90,-1,-1,-1
344,9,黑色地裂纹,1174,0,199,75,0,0,0,0,0,0,0,900,1400,1,300,500,0,-1,rotation:90,-1,-1,-1
344,10,黑色地裂纹,1174,0,-179,62,0,0,0,0,0,0,0,900,1400,1,300,500,0,-1,rotation:90,-1,-1,-1
344,11,黑色地裂纹,1174,0,-130,16,0,0,0,0,0,0,0,900,1400,1,300,500,0,-1,rotation:90,-1,-1,-1
344,12,黑色地裂纹,1174,0,97,-42,0,0,0,0,0,0,0,900,1400,1,300,500,0,-1,rotation:90,-1,-1,-1
344,13,黑色地裂纹,1174,0,-168,-45,0,0,0,0,0,0,0,1000,1300,1,300,500,0,-1,rotation:90,-1,-1,-1
344,14,黑色地裂纹,1174,0,-265,-76,0,0,0,0,0,0,0,1000,1300,1,300,500,0,-1,rotation:90,-1,-1,-1
344,15,黑色地裂纹,1174,0,234,-54,0,0,0,0,0,0,0,1000,1300,1,300,500,0,-1,rotation:90,-1,-1,-1
344,16,黑色地裂纹,1174,0,-307,92,0,0,0,0,0,0,0,1000,1300,1,300,500,0,-1,rotation:90,-1,-1,-1
344,17,黑色地裂纹,1174,0,308,95,0,0,0,0,0,0,0,1000,1300,1,300,500,0,-1,rotation:90,-1,-1,-1
344,18,金色地裂纹,1175,0,-40,-40,0,0,0,0,0,0,0,801,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,19,金色地裂纹,1175,0,143,18,0,0,0,0,0,0,0,801,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,20,金色地裂纹,1175,0,-32,39,0,0,0,0,0,0,0,801,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,21,金色地裂纹,1175,0,71,36,0,0,0,0,0,0,0,801,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,22,金色地裂纹,1175,0,199,75,0,0,0,0,0,0,0,901,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,23,金色地裂纹,1175,0,-179,62,0,0,0,0,0,0,0,901,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,24,金色地裂纹,1175,0,-130,16,0,0,0,0,0,0,0,901,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,25,金色地裂纹,1175,0,97,-42,0,0,0,0,0,0,0,901,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,26,金色地裂纹,1175,0,-168,-45,0,0,0,0,0,0,0,1001,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,27,金色地裂纹,1175,0,-265,-76,0,0,0,0,0,0,0,1001,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,28,金色地裂纹,1175,0,234,-54,0,0,0,0,0,0,0,1001,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,29,金色地裂纹,1175,0,-307,92,0,0,0,0,0,0,0,1001,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,30,金色地裂纹,1175,0,308,95,0,0,0,0,0,0,0,1001,700,1,0,300,0,-1,rotation:90,-1,-1,-1
344,31,新地裂黄光,1172,0,200,-47,0,0,0,0,0,0,1,900,-1,1,0,0,0,-1,rotation:15,-1,-1,-1
344,32,新地裂黄光,1172,0,200,76,0,0,0,0,0,0,1,900,-1,1,0,0,0,-1,rotation:-15,-1,-1,-1
344,33,新地裂黄光,1172,0,-193,-46,0,0,0,0,0,0,1,900,-1,1,0,0,0,-1,rotation:-15/scaleX:-1,-1,-1,-1
344,34,新地裂黄光,1172,0,-199,65,0,0,0,0,0,0,1,900,-1,1,0,0,0,-1,rotation:15/scaleX:-1,-1,-1,-1
344,35,爆破烟尘,1043,0,90,-20,0,0,0,0,0,0,1,900,-1,1,0,0,0,-1,y:138,-1,-1,-1
344,36,爆破烟尘,1043,0,194,-40,0,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,y:146,-1,-1,-1
344,37,爆破烟尘,1043,0,307,-60,0,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,y:122,-1,-1,-1
344,38,爆破烟尘,1043,0,100,50,126,0,0,0,0,0,1,900,-1,1,0,0,0,-1,-1,-1,-1,-1
344,39,爆破烟尘,1043,0,211,70,156,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,-1,-1,-1,-1
344,40,爆破烟尘,1043,0,318,90,138,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,scaleX:0.9/scaleY:0.9,-1,-1,-1
344,41,爆破烟尘,1043,0,-79,-20,139,0,0,0,0,0,1,900,-1,1,0,0,0,-1,-1,-1,-1,-1
344,42,爆破烟尘,1043,0,-198,-40,133,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,-1,-1,-1,-1
344,43,爆破烟尘,1043,0,-317,-60,112,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,-1,-1,-1,-1
344,44,爆破烟尘,1043,0,-84,50,131,0,0,0,0,0,1,900,-1,1,0,0,0,-1,-1,-1,-1,-1
344,45,爆破烟尘,1043,0,-201,70,137,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,-1,-1,-1,-1
344,46,爆破烟尘,1043,0,-316,90,134,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,scaleX:0.9/scaleY:0.9,-1,-1,-1
344,47,黄点溅起,1176,0,90,-66,0,0,0,0,0,0,1,900,-1,1,0,0,0,-1,y:138,-1,-1,-1
344,48,黄点溅起,1176,0,194,-86,0,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,y:146,-1,-1,-1
344,49,黄点溅起,1176,0,307,-106,0,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,y:122,-1,-1,-1
344,50,黄点溅起,1176,0,100,4,126,0,0,0,0,0,1,900,-1,1,0,0,0,-1,-1,-1,-1,-1
344,51,黄点溅起,1176,0,211,24,156,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,-1,-1,-1,-1
344,52,黄点溅起,1176,0,318,44,138,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,scaleX:0.9/scaleY:0.9,-1,-1,-1
344,53,黄点溅起,1176,0,-79,-20,93,0,0,0,0,0,1,900,-1,1,0,0,0,-1,-1,-1,-1,-1
344,54,黄点溅起,1176,0,-198,-40,87,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,-1,-1,-1,-1
344,55,黄点溅起,1176,0,-317,-60,66,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,-1,-1,-1,-1
344,56,黄点溅起,1176,0,-84,50,85,0,0,0,0,0,1,900,-1,1,0,0,0,-1,-1,-1,-1,-1
344,57,黄点溅起,1176,0,-201,70,91,0,0,0,0,0,1,1000,-1,1,0,0,0,-1,-1,-1,-1,-1
344,58,黄点溅起,1176,0,-316,90,88,0,0,0,0,0,1,1100,-1,1,0,0,0,-1,scaleX:0.9/scaleY:0.9,-1,-1,-1
344,59,闪电,1171,0,64,-28,0,0,0,0,0,0,1,933,-1,1,0,0,0,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,60,闪电,1171,0,-105,-12,0,0,0,0,0,0,1,1056,-1,1,0,0,-1,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,61,闪电,1171,0,-277,56,0,0,0,0,0,0,1,969,-1,1,0,0,-1,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,62,闪电,1171,0,315,73,0,0,0,0,0,0,1,946,-1,1,0,0,-1,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,63,闪电,1171,0,309,-89,0,0,0,0,0,0,1,984,-1,1,0,0,-1,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,64,闪电,1171,0,217,-115,0,0,0,0,0,0,1,1150,-1,1,0,0,0,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,65,闪电,1171,0,163,49,0,0,0,0,0,0,1,1072,-1,1,0,0,-1,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,66,闪电,1171,0,-134,-103,0,0,0,0,0,0,1,936,-1,1,0,0,-1,-1,y:360/scaleX:2/scaleY:2,-1,-1,-1
344,67,土坑,34,0,76,-37,0,0,0,0,0,0,0,953,1000,1,0,300,0,-1,-1,-1,-1,-1
344,68,土坑,34,0,-93,-21,0,0,0,0,0,0,0,1076,1000,1,0,300,0,-1,-1,-1,-1,-1
344,69,土坑,34,0,-265,47,0,0,0,0,0,0,0,989,1000,1,0,300,0,-1,-1,-1,-1,-1
344,70,土坑,34,0,327,64,0,0,0,0,0,0,0,966,1000,1,0,300,0,-1,-1,-1,-1,-1
344,71,土坑,34,0,321,-98,0,0,0,0,0,0,0,1004,1000,1,0,300,0,-1,-1,-1,-1,-1
344,72,土坑,34,0,229,-124,0,0,0,0,0,0,0,1170,1000,1,0,300,0,-1,-1,-1,-1,-1
